sample,template,count
Cells-G1_mapped,NZ_CP007446.1,2762962
Cells-G1_mapped,GFP_wPT,282637
Cells-G1_mapped,pDS-noGFPw,22067
Cells-G2_mapped,NZ_CP007446.1,2954348
Cells-G2_mapped,GFP_wPT,129265
Cells-G2_mapped,pDS-noGFPw,11259
Cells-G3_mapped,NZ_CP007446.1,2797776
Cells-G3_mapped,GFP_wPT,363458
Cells-G3_mapped,pDS-noGFPw,31062
MVs-G1_mapped,NZ_CP007446.1,2376972
MVs-G1_mapped,GFP_wPT,83479
MVs-G1_mapped,pDS-noGFPw,12693
MVs-G2_mapped,NZ_CP007446.1,2822149
MVs-G2_mapped,GFP_wPT,129919
MVs-G2_mapped,pDS-noGFPw,18499
MVs-G3_mapped,NZ_CP007446.1,2308816
MVs-G3_mapped,GFP_wPT,79517
MVs-G3_mapped,pDS-noGFPw,13653
