Sample,Category,Length,Count
Cells-G1,NZ_CP007446.1,15,29884
Cells-G1,NZ_CP007446.1,16,48372
Cells-G1,NZ_CP007446.1,17,59310
Cells-G1,NZ_CP007446.1,18,89266
Cells-G1,NZ_CP007446.1,19,174439
Cells-G1,NZ_CP007446.1,20,331917
Cells-G1,NZ_CP007446.1,21,316560
Cells-G1,NZ_CP007446.1,22,229800
Cells-G1,NZ_CP007446.1,23,180527
Cells-G1,NZ_CP007446.1,24,252556
Cells-G1,NZ_CP007446.1,25,205349
Cells-G1,NZ_CP007446.1,26,332047
Cells-G1,NZ_CP007446.1,27,111397
Cells-G1,NZ_CP007446.1,28,102531
Cells-G1,NZ_CP007446.1,29,64018
Cells-G1,NZ_CP007446.1,30,70801
Cells-G1,NZ_CP007446.1,31,55566
Cells-G1,NZ_CP007446.1,32,25288
Cells-G1,NZ_CP007446.1,33,23710
Cells-G1,NZ_CP007446.1,34,19451
Cells-G1,NZ_CP007446.1,35,12772
Cells-G1,NZ_CP007446.1,36,7472
Cells-G1,NZ_CP007446.1,37,6678
Cells-G1,NZ_CP007446.1,38,2743
Cells-G1,NZ_CP007446.1,39,2652
Cells-G1,NZ_CP007446.1,40,2980
Cells-G1,NZ_CP007446.1,41,3166
Cells-G1,NZ_CP007446.1,42,689
Cells-G1,NZ_CP007446.1,43,492
Cells-G1,NZ_CP007446.1,44,218
Cells-G1,NZ_CP007446.1,45,114
Cells-G1,NZ_CP007446.1,46,77
Cells-G1,NZ_CP007446.1,47,40
Cells-G1,NZ_CP007446.1,48,21
Cells-G1,NZ_CP007446.1,49,15
Cells-G1,NZ_CP007446.1,50,16
Cells-G1,NZ_CP007446.1,51,12
Cells-G1,NZ_CP007446.1,52,8
Cells-G1,NZ_CP007446.1,53,2
Cells-G1,NZ_CP007446.1,54,1
Cells-G1,NZ_CP007446.1,55,1
Cells-G1,NZ_CP007446.1,56,2
Cells-G1,NZ_CP007446.1,57,1
Cells-G1,NZ_CP007446.1,60,1
Cells-G1,GFP_wPT,15,23596
Cells-G1,GFP_wPT,16,7519
Cells-G1,GFP_wPT,17,9196
Cells-G1,GFP_wPT,18,19388
Cells-G1,GFP_wPT,19,20089
Cells-G1,GFP_wPT,20,18193
Cells-G1,GFP_wPT,21,37046
Cells-G1,GFP_wPT,22,29485
Cells-G1,GFP_wPT,23,40042
Cells-G1,GFP_wPT,24,14007
Cells-G1,GFP_wPT,25,14750
Cells-G1,GFP_wPT,26,9690
Cells-G1,GFP_wPT,27,8318
Cells-G1,GFP_wPT,28,10707
Cells-G1,GFP_wPT,29,6458
Cells-G1,GFP_wPT,30,4813
Cells-G1,GFP_wPT,31,2400
Cells-G1,GFP_wPT,32,2692
Cells-G1,GFP_wPT,33,1646
Cells-G1,GFP_wPT,34,1000
Cells-G1,GFP_wPT,35,769
Cells-G1,GFP_wPT,36,395
Cells-G1,GFP_wPT,37,160
Cells-G1,GFP_wPT,38,100
Cells-G1,GFP_wPT,39,69
Cells-G1,GFP_wPT,40,43
Cells-G1,GFP_wPT,41,20
Cells-G1,GFP_wPT,42,23
Cells-G1,GFP_wPT,43,12
Cells-G1,GFP_wPT,44,2
Cells-G1,GFP_wPT,45,2
Cells-G1,GFP_wPT,46,1
Cells-G1,GFP_wPT,47,2
Cells-G1,GFP_wPT,48,2
Cells-G1,GFP_wPT,49,1
Cells-G1,GFP_wPT,51,1
Cells-G1,pDS-noGFPw,15,330
Cells-G1,pDS-noGFPw,16,542
Cells-G1,pDS-noGFPw,17,906
Cells-G1,pDS-noGFPw,18,1535
Cells-G1,pDS-noGFPw,19,2195
Cells-G1,pDS-noGFPw,20,1948
Cells-G1,pDS-noGFPw,21,2567
Cells-G1,pDS-noGFPw,22,2301
Cells-G1,pDS-noGFPw,23,2191
Cells-G1,pDS-noGFPw,24,1658
Cells-G1,pDS-noGFPw,25,1106
Cells-G1,pDS-noGFPw,26,1397
Cells-G1,pDS-noGFPw,27,1014
Cells-G1,pDS-noGFPw,28,630
Cells-G1,pDS-noGFPw,29,513
Cells-G1,pDS-noGFPw,30,367
Cells-G1,pDS-noGFPw,31,259
Cells-G1,pDS-noGFPw,32,173
Cells-G1,pDS-noGFPw,33,155
Cells-G1,pDS-noGFPw,34,113
Cells-G1,pDS-noGFPw,35,58
Cells-G1,pDS-noGFPw,36,28
Cells-G1,pDS-noGFPw,37,32
Cells-G1,pDS-noGFPw,38,18
Cells-G1,pDS-noGFPw,39,11
Cells-G1,pDS-noGFPw,40,9
Cells-G1,pDS-noGFPw,41,4
Cells-G1,pDS-noGFPw,42,5
Cells-G1,pDS-noGFPw,43,1
Cells-G1,pDS-noGFPw,47,1
Cells-G2,NZ_CP007446.1,15,38474
Cells-G2,NZ_CP007446.1,16,60787
Cells-G2,NZ_CP007446.1,17,78169
Cells-G2,NZ_CP007446.1,18,104173
Cells-G2,NZ_CP007446.1,19,186329
Cells-G2,NZ_CP007446.1,20,358752
Cells-G2,NZ_CP007446.1,21,365362
Cells-G2,NZ_CP007446.1,22,257852
Cells-G2,NZ_CP007446.1,23,192255
Cells-G2,NZ_CP007446.1,24,270498
Cells-G2,NZ_CP007446.1,25,197057
Cells-G2,NZ_CP007446.1,26,309457
Cells-G2,NZ_CP007446.1,27,122930
Cells-G2,NZ_CP007446.1,28,97538
Cells-G2,NZ_CP007446.1,29,66958
Cells-G2,NZ_CP007446.1,30,73502
Cells-G2,NZ_CP007446.1,31,62388
Cells-G2,NZ_CP007446.1,32,28502
Cells-G2,NZ_CP007446.1,33,25543
Cells-G2,NZ_CP007446.1,34,17998
Cells-G2,NZ_CP007446.1,35,13964
Cells-G2,NZ_CP007446.1,36,7624
